📺四季嗅探,#genre#
東森財經新聞台,https://www.4gtv.tv/channel/4gtv-live019?set=1&ch=22
中視新聞,https://www.4gtv.tv/channel/4gtv-4gtv074?set=1&ch=22
中天新聞台,https://www.4gtv.tv/channel/4gtv-4gtv009?set=1&ch=22
Bloomberg TV,https://www.4gtv.tv/channel/4gtv-live059?set=1&ch=22
寰宇新聞台,https://www.4gtv.tv/channel/litv-longturn14?set=1&ch=22
寰宇新聞台灣台,https://www.4gtv.tv/channel/litv-longturn15?set=1&ch=22
SBN全球財經台,https://www.4gtv.tv/channel/4gtv-live060?set=1&ch=22
寰宇財經台,https://www.4gtv.tv/channel/litv-longturn23?set=1&ch=22
TVBS,https://www.4gtv.tv/channel/4gtv-4gtv073?set=1&ch=22
東森購物二台,https://www.4gtv.tv/channel/4gtv-live046?set=1&ch=22
民視綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=1&ch=22
豬哥亮歌廳秀,https://www.4gtv.tv/channel/4gtv-4gtv006?set=1&ch=22
靖天育樂台,https://www.4gtv.tv/channel/4gtv-4gtv062?set=1&ch=22
KLT-靖天國際台,https://www.4gtv.tv/channel/4gtv-4gtv063?set=1&ch=22
Nice TV 靖天歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv054?set=1&ch=22
靖天資訊台,https://www.4gtv.tv/channel/4gtv-4gtv065?set=1&ch=22
TVBS歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv068?set=1&ch=22
韓國娛樂台 KMTV,https://www.4gtv.tv/channel/4gtv-4gtv016?set=1&ch=22
ROCK Entertainment,https://www.4gtv.tv/channel/4gtv-live080?set=1&ch=22
Lifetime 娛樂頻道,https://www.4gtv.tv/channel/4gtv-live029?set=1&ch=22
電影原聲台CMusic,https://www.4gtv.tv/channel/4gtv-live031?set=1&ch=22
TRACE Urban,https://www.4gtv.tv/channel/4gtv-4gtv082?set=1&ch=22
MTV Live HD 音樂頻道,https://www.4gtv.tv/channel/4gtv-live025?set=1&ch=22
Mezzo Live HD,https://www.4gtv.tv/channel/4gtv-4gtv083?set=1&ch=22
CLASSICA 古典樂,https://www.4gtv.tv/channel/4gtv-4gtv059?set=1&ch=22
